candidate_id,source_id,pdf_id,page,measurement_type,measurement_value,measurement_unit,normalized_value_nM,raw_text_snippet,source_location,extraction_method,extraction_confidence,extraction_notes
pdf_cand_00001,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,LOD,4.4,ng/μl,,"ions contained approximately equal amounts of 16S rRNA, as verified by electrophoretic analysis (Figure S5). For both MTC- and M. smegmatis-specific sensors, the absorbance of the samples increased as a function of the RNA amount added (Figure 2C and S6). The LOD was found to be 4.4 ng/μl and 4.8 ng/μl for MTC- and M. smegmatis-specific sensors, respectively. TLC-based visualization allowed reliable detection of as low as 12.5 ng of total bacterial RNA in a 3 μl-spot (Figures 2B and S1B). Taking into account that a cell of slow-growing Mtb con",PDF page 2,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00002,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,sensitivity_improvement_factor,20.0,fold,,"RNAs (Table 1). The LOD values quantified based on light absorbance at 500 nm using spectrophotometer (Figures S3, S4) were determined to be 0.4 nM and 0.6 nM for MTC- and M. smegmatis-specific sensors, respectively (Figures S3a and S4a). This LOD is at least 20 times lower than that reported for PDz-based sensor without the Dz cascade.[1d,3a-d] Since an instrument-free detection format is preferable for the POC diagnostics, we explored TLC plate-based signal visualization. For this purpose, 3 μL of the final samples were spotte",PDF page 2,pymupdf_text_regex,low,Fold-change candidate; manually verify baseline comparator.
pdf_cand_00001,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,1,sensitivity_improvement_factor,24.0,fold,,"to (i) unwind RNA with the help of RNA-binding arms, (ii) selectively recognize a targeted RNA fragment, (iii) attract a signal-producing substrate and (iv) amplify the fluorescent signal by catalysis. MDMR1 enabled detection of 16S rRNA at concentrations ~24 times lower than that by a traditional deoxyribozyme probe. Hybridization probes have been used for the detection of specific DNA and RNA sequences for the last 55 years.1a Common challenges of hybridization probes include insufficient sensitivity and selectivity.1 Det",PDF page 1,pymupdf_text_regex,low,Fold-change candidate; manually verify baseline comparator.
pdf_cand_00001,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,2,LOD,25.0,fold,,"hat of commercially available fluorescent probes.1,3b However, the LOD of BiDZ sensors is compromised when long and highly folded RNA is to be analysed. In this case, the access of the BiDZ probe to the targeted analyte fragment is limited resulting in ~10–25 fold decrease in LOD in comparison to an unstructured analyte.8h,l We therefore seek to equip the BiDZ probe with the RNA- unwinding function. We reasoned that the addition of an RNA-unwinding function to the BiDZ probe will help to facilitate its access to the targeted fragmen",PDF page 2,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00002,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,2,sensitivity_improvement_factor,50.0,fold,,"s one of the most promising hybridization probes for homogeneous mix-and-read nucleic acid analysis, since it enables (i) high selectivity of point mutation analysis,8 (ii) reduced cost,‡ and (iii) LOD down to 8–20 pM after 60 min of incubation,8 which is ~50 times lower than that of commercially available fluorescent probes.1,3b However, the LOD of BiDZ sensors is compromised when long and highly folded RNA is to be analysed. In this case, the access of the BiDZ probe to the targeted analyte fragment is limited resulting",PDF page 2,pymupdf_text_regex,low,Fold-change candidate; manually verify baseline comparator.
pdf_cand_00001,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,3,LOD,60.0,m,60000000000.0,"OD of 35 and 204 pM for DMsg and RMsg, respectively, after 20 min, which is 6 and 24 times lower than that for the tile-free BiDZ_Msg. This result reflects the advantage of MDMR1 approach in the detection of folded RNA over unfolded short DNA analyte. In a 60 min assay, the advantage in LOD of MDMR1 for RMsg was only about 20-fold, which correlates with the hypothesis that the efficiency of BiDZ_Msg binding to the RNA target increases during extended incubation time. This hypothesis is also supported by the kinetic data (Fig. 2A) – the rate o",PDF page 3,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00002,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,3,sensitivity_improvement_factor,24.0,fold,,"in LOD emphasizes the reduced affinity of the BiDZ probe to the folded RNA analyte in comparison with the relatively unstructured DMsg. At the same time, MDMR1 demonstrated LOD of 35 and 204 pM for DMsg and RMsg, respectively, after 20 min, which is 6 and 24 times lower than that for the tile-free BiDZ_Msg. This result reflects the advantage of MDMR1 approach in the detection of folded RNA over unfolded short DNA analyte. In a 60 min assay, the advantage in LOD of MDMR1 for RMsg was only about 20-fold, which correlates wi",PDF page 3,pymupdf_text_regex,low,Fold-change candidate; manually verify baseline comparator.
pdf_cand_00001,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,9,LOD,0.1,ng,,"ng μL−1) MDMR1_Msg, no RNA-binding arms DMsg 50 pM 8 pM RMsg 1838 pM (3.53 ng μL−1) 196 pM (0.38 ng μL−1) MDMR1_Msg, no Hook strands DMsg 119 pM 25 pM RMsg 692 pM (1.33 ng μL−1) 40 pM (0.08 ng μL−1) MDMR1_Msg DMsg 35 pM 11 pM RMsg 204 pM (0.39 ng μL−1) 50 pM (0.10 ng μL−1) aLOD were calculated using the data presented in Fig. S2 and S3 according to the procedure described in ESI. bTotal RNA isolated from M. smegmatis (MC2155 strain) was used. cThe conversion of ng μL−1 total RNA into pM for 16S rRNA was performed as described in ESI",PDF page 9,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00001,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,4,LOD,15.0,m,15000000000.0,"e linkers that connect the analyte-binding parts of the arms and DNA tile; F—FAM; Q—Black Hole Quencher. The scissors schematically indicate the location of the cleavage site of the fluorescent substrate (F-sub). 2.3. Detection by MB-DNSs 2.3.1. Estimation of LOD on a Synthetic Analyte Detection using MB-DNSs was performed on synthetic oligonucleotides with a 15 min incubation at room temperature. The developed binary RSV and HPIV MB-DNSs demon- strated limits of detection (LODs) of 2 nM and 4 nM, respectively (Figure 3). While MB-DNSs effectively detect analyte concentrations ranging from 10 to 100 nM and above, this",PDF page 4,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00002,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,4,LOD,2.0,nM,2.0,"etection by MB-DNSs 2.3.1. Estimation of LOD on a Synthetic Analyte Detection using MB-DNSs was performed on synthetic oligonucleotides with a 15 min incubation at room temperature. The developed binary RSV and HPIV MB-DNSs demon- strated limits of detection (LODs) of 2 nM and 4 nM, respectively (Figure 3). While MB-DNSs effectively detect analyte concentrations ranging from 10 to 100 nM and above, this sensitivity is insufficient for the direct detection of viral genomic RNA without amplifi- cation. Consequently, our subsequen",PDF page 4,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
