record_id,source_id,pdf_id,page,sensor_architecture,dnazyme_name,full_sensor_sequence,target_name,target_sequence,reaction_type,detection_method,measurement_type,measurement_value,measurement_unit,lod_nM,signal_to_background_ratio,temperature_c,Gibbs_energy,buffer,pH,Mg_mM,Na_mM,fluorophore,quencher,source,source_location,extraction_confidence,extraction_notes
pdf_rec_00001,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,DNAzyme_cascade,split_10-23_Dz_plus_peroxidase_like_Dz,,MTC synthetic DNA analyte corresponding to 16S rRNA fragment,,RNA_cleavage_then_peroxidase_like_oxidation,visual/colorimetric_absorbance_500nm,LOD,0.4,nM,0.4,,50,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,,,10.1002/cbic.201300471,"page 2, text; Figures S3/S4 referenced",high,LOD for MTC-specific sensor using synthetic DNA analyte.
pdf_rec_00002,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,DNAzyme_cascade,split_10-23_Dz_plus_peroxidase_like_Dz,,M. smegmatis synthetic DNA analyte corresponding to 16S rRNA fragment,,RNA_cleavage_then_peroxidase_like_oxidation,visual/colorimetric_absorbance_500nm,LOD,0.6,nM,0.6,,50,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,,,10.1002/cbic.201300471,"page 2, text; Figures S3/S4 referenced",high,LOD for M. smegmatis-specific sensor using synthetic DNA analyte.
pdf_rec_00003,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,DNAzyme_cascade,split_10-23_Dz_plus_peroxidase_like_Dz,,MTC total bacterial RNA / 16S rRNA-containing RNA,,RNA_cleavage_then_peroxidase_like_oxidation,visual/colorimetric_absorbance_500nm,LOD,4.4,ng/uL,,,50,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,,,10.1002/cbic.201300471,"page 2, text; Figure 2C referenced",high,LOD in mass concentration; not converted to nM because total RNA composition/molecular weight assumptions are required.
pdf_rec_00004,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,DNAzyme_cascade,split_10-23_Dz_plus_peroxidase_like_Dz,,M. smegmatis total bacterial RNA / 16S rRNA-containing RNA,,RNA_cleavage_then_peroxidase_like_oxidation,visual/colorimetric_absorbance_500nm,LOD,4.8,ng/uL,,,50,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,,,10.1002/cbic.201300471,"page 2, text; Figure S6 referenced",high,LOD in mass concentration; not converted to nM because total RNA composition/molecular weight assumptions are required.
pdf_rec_00005,paper_gerasimova_2013_visual_bacterial_rna,gerasimova_2013_deoxyribozyme_cascade_bacterial_rna,2,DNAzyme_cascade,split_10-23_Dz_plus_peroxidase_like_Dz,,MTC total bacterial RNA / 16S rRNA-containing RNA,,RNA_cleavage_then_peroxidase_like_oxidation,visual/colorimetric_absorbance_500nm,visual_detection_amount,12.5,ng,,,50,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,,,10.1002/cbic.201300471,"page 2, text; Figure 2B referenced",medium,TLC-based visualization allowed reliable detection of 12.5 ng total bacterial RNA in a 3 uL spot.
pdf_rec_00006,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,9,BiDZ,BiDZ_Msg,,DMsg synthetic DNA analyte corresponding to M. smegmatis 16S rRNA fragment,,RNA_cleavage,fluorescence,LOD,221,pM,0.221,,55,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,F,Q,10.1039/C6CC06889H,"Table 1, page 9",high,Manually transcribed from Table 1; LOD values calculated from Fig. S2/S3 according to ESI. Incubation time: 20 min.
pdf_rec_00007,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,9,BiDZ,BiDZ_Msg,,DMsg synthetic DNA analyte corresponding to M. smegmatis 16S rRNA fragment,,RNA_cleavage,fluorescence,LOD,68,pM,0.068,,55,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,F,Q,10.1039/C6CC06889H,"Table 1, page 9",high,Manually transcribed from Table 1; LOD values calculated from Fig. S2/S3 according to ESI. Incubation time: 60 min.
pdf_rec_00008,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,9,BiDZ,BiDZ_Msg,,RMsg total RNA from M. smegmatis,,RNA_cleavage,fluorescence,LOD,4860,pM,4.86,,55,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,F,Q,10.1039/C6CC06889H,"Table 1, page 9",high,Manually transcribed from Table 1; LOD values calculated from Fig. S2/S3 according to ESI. Incubation time: 20 min.
pdf_rec_00009,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,9,BiDZ,BiDZ_Msg,,RMsg total RNA from M. smegmatis,,RNA_cleavage,fluorescence,LOD,974,pM,0.974,,55,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,F,Q,10.1039/C6CC06889H,"Table 1, page 9",high,Manually transcribed from Table 1; LOD values calculated from Fig. S2/S3 according to ESI. Incubation time: 60 min.
pdf_rec_00010,paper_cox_2016_mdm_rna,cox_2016_multifunctional_molecular_dna_machine_rna,9,MDMR1_no_RNA_binding_arms,MDMR1_Msg no RNA-binding arms,,DMsg synthetic DNA analyte corresponding to M. smegmatis 16S rRNA fragment,,RNA_cleavage,fluorescence,LOD,50,pM,0.05,,55,,"50 mM HEPES, 50 mM MgCl2, 20 mM KCl, 120 mM NaCl, 0.03% Triton X-100, 1% DMSO",7.4,50,120,F,Q,10.1039/C6CC06889H,"Table 1, page 9",high,Manually transcribed from Table 1; LOD values calculated from Fig. S2/S3 according to ESI. Incubation time: 20 min.
